Tx Time(s)	Rx Time(s)	Latency(ms)
5.02862	5.03258	3.96355
5.04862	5.05258	3.96355
5.06862	5.07258	3.96355
5.08862	5.09258	3.96355
5.10862	5.11258	3.96355
5.12862	5.13258	3.96355
5.14862	5.15258	3.96355
5.16862	5.17258	3.96355
5.18862	5.19258	3.96355
5.20862	5.21258	3.96355
5.22862	5.23258	3.96355
5.24862	5.25258	3.96355
5.26862	5.27258	3.96355
5.28862	5.29258	3.96355
5.30862	5.31258	3.96355
5.32862	5.33258	3.96355
5.34862	5.35258	3.96355
5.36862	5.37258	3.96355
5.38862	5.39258	3.96355
5.40862	5.41258	3.96355
5.42862	5.43258	3.96355
5.44862	5.45258	3.96355
5.46862	5.47258	3.96355
5.48862	5.49258	3.96355
5.50862	5.51258	3.96355
5.52862	5.53258	3.96355
5.54862	5.55258	3.96355
5.56862	5.57258	3.96355
5.58862	5.59258	3.96355
5.60862	5.61258	3.96355
5.62862	5.63258	3.96355
5.64862	5.65258	3.96355
5.66862	5.67258	3.96355
5.68862	5.69258	3.96355
5.70862	5.71258	3.96355
5.72862	5.73258	3.96355
5.74862	5.75258	3.96355
5.76862	5.77258	3.96355
5.78862	5.79258	3.96355
5.80862	5.81258	3.96355
5.82862	5.83258	3.96355
5.84862	5.85258	3.96355
5.86862	5.87258	3.96355
5.88862	5.89258	3.96355
5.90862	5.91258	3.96355
5.92862	5.93258	3.96355
5.94862	5.95258	3.96355
5.96862	5.98458	15.9635
5.98862	6.00458	15.9635
6.00862	6.02458	15.9635
6.02862	6.04458	15.9635
6.04862	6.06458	15.9635
6.06862	6.08458	15.9635
6.08862	6.10458	15.9635
6.10862	6.12458	15.9635
6.12862	6.14458	15.9635
6.14862	6.16458	15.9635
6.16862	6.18458	15.9635
6.18862	6.20458	15.9635
6.20862	6.22458	15.9635
6.22862	6.24458	15.9635
6.24862	6.26458	15.9635
6.26862	6.28458	15.9635
6.28862	6.30458	15.9635
6.30862	6.32458	15.9635
6.32862	6.34458	15.9635
6.34862	6.36458	15.9635
6.36862	6.38458	15.9635
6.38862	6.40458	15.9635
6.40862	6.42458	15.9635
6.42862	6.44458	15.9635
6.44862	6.46458	15.9635
6.46862	6.48458	15.9635
6.48862	6.50458	15.9635
6.50862	6.52458	15.9635
6.52862	6.54458	15.9635
6.54862	6.56458	15.9635
6.56862	6.58458	15.9635
6.58862	6.60458	15.9635
6.60862	6.62458	15.9635
6.62862	6.64458	15.9635
6.64862	6.66458	15.9635
6.66862	6.68458	15.9635
6.68862	6.70458	15.9635
6.70862	6.72458	15.9635
6.72862	6.74458	15.9635
6.74862	6.76458	15.9635
6.76862	6.78458	15.9635
6.78862	6.80458	15.9635
6.80862	6.82458	15.9635
6.82862	6.84458	15.9635
6.84862	6.86458	15.9635
6.86862	6.88458	15.9635
6.88862	6.90458	15.9635
6.90862	6.92458	15.9635
6.92862	6.94458	15.9635
6.94862	6.96458	15.9635
6.96862	6.98458	15.9635
6.98862	7.00458	15.9635
7.00862	7.02458	15.9635
7.02862	7.04458	15.9635
7.04862	7.06458	15.9635
7.06862	7.08458	15.9635
7.08862	7.10458	15.9635
7.10862	7.12458	15.9635
7.12862	7.14458	15.9635
7.14862	7.16458	15.9635
7.16862	7.18458	15.9635
7.18862	7.20458	15.9635
7.20862	7.22458	15.9635
7.22862	7.24458	15.9635
7.24862	7.26458	15.9635
7.26862	7.28458	15.9635
7.28862	7.30458	15.9635
7.30862	7.32258	13.9635
7.32862	7.34258	13.9635
7.34862	7.36258	13.9635
7.36862	7.38258	13.9635
7.38862	7.40258	13.9635
7.40862	7.42258	13.9635
7.42862	7.44258	13.9635
7.44862	7.46258	13.9635
7.46862	7.48258	13.9635
7.48862	7.50258	13.9635
7.50862	7.52258	13.9635
7.52862	7.54258	13.9635
7.54862	7.56258	13.9635
7.56862	7.58258	13.9635
7.58862	7.60258	13.9635
7.60862	7.62258	13.9635
7.62862	7.64258	13.9635
7.64862	7.66258	13.9635
7.66862	7.68258	13.9635
7.68862	7.70258	13.9635
7.70862	7.72258	13.9635
7.72862	7.74258	13.9635
7.74862	7.76258	13.9635
7.76862	7.78258	13.9635
7.78862	7.80258	13.9635
7.80862	7.82258	13.9635
7.82862	7.84258	13.9635
7.84862	7.86258	13.9635
7.86862	7.88258	13.9635
7.88862	7.90258	13.9635
7.90862	7.92258	13.9635
7.92862	7.94258	13.9635
7.94862	7.96258	13.9635
7.96862	7.98258	13.9635
7.98862	8.00258	13.9635
8.00862	8.02258	13.9635
8.02862	8.04258	13.9635
8.04862	8.06258	13.9635
8.06862	8.08258	13.9635
8.08862	8.10258	13.9635
8.10862	8.12258	13.9635
8.12862	8.14258	13.9635
8.14862	8.16258	13.9635
8.16862	8.18258	13.9635
8.18862	8.19508	6.46355
8.20862	8.21508	6.46355
8.22862	8.23508	6.46355
8.24862	8.25508	6.46355
8.26862	8.27508	6.46355
8.28862	8.29508	6.46355
8.30862	8.31508	6.46355
8.32862	8.33508	6.46355
8.34862	8.35508	6.46355
8.36862	8.37508	6.46355
8.38862	8.39508	6.46355
8.40862	8.41508	6.46355
8.42862	8.43508	6.46355
8.44862	8.45508	6.46355
8.46862	8.47508	6.46355
8.48862	8.49508	6.46355
8.50862	8.51508	6.46355
8.52862	8.53508	6.46355
8.54862	8.55508	6.46355
8.56862	8.57508	6.46355
8.58862	8.59508	6.46355
8.60862	8.61508	6.46355
8.62862	8.63508	6.46355
