Tx Time(s)	Rx Time(s)	Latency(s)	Source Address
5.07882	5.09208	0.0132612	04-07-01:00:00:02:01:c0:00
5.09882	5.11208	0.0132612	04-07-01:00:00:02:01:c0:00
5.11882	5.13208	0.0132612	04-07-01:00:00:02:01:c0:00
5.13882	5.15208	0.0132612	04-07-01:00:00:02:01:c0:00
5.15882	5.17208	0.0132612	04-07-01:00:00:02:01:c0:00
5.17882	5.19208	0.0132612	04-07-01:00:00:02:01:c0:00
5.19882	5.21208	0.0132612	04-07-01:00:00:02:01:c0:00
5.21882	5.23208	0.0132612	04-07-01:00:00:02:01:c0:00
5.23882	5.25208	0.0132612	04-07-01:00:00:02:01:c0:00
5.25882	5.27208	0.0132612	04-07-01:00:00:02:01:c0:00
5.27882	5.29208	0.0132612	04-07-01:00:00:02:01:c0:00
5.29882	5.31208	0.0132612	04-07-01:00:00:02:01:c0:00
5.31882	5.33208	0.0132612	04-07-01:00:00:02:01:c0:00
5.33882	5.35208	0.0132612	04-07-01:00:00:02:01:c0:00
5.35882	5.37208	0.0132612	04-07-01:00:00:02:01:c0:00
5.37882	5.39208	0.0132612	04-07-01:00:00:02:01:c0:00
5.39882	5.41208	0.0132612	04-07-01:00:00:02:01:c0:00
5.41882	5.43208	0.0132612	04-07-01:00:00:02:01:c0:00
5.43882	5.45208	0.0132612	04-07-01:00:00:02:01:c0:00
5.45882	5.47208	0.0132612	04-07-01:00:00:02:01:c0:00
5.47882	5.49208	0.0132612	04-07-01:00:00:02:01:c0:00
5.49882	5.51208	0.0132612	04-07-01:00:00:02:01:c0:00
5.51882	5.53208	0.0132612	04-07-01:00:00:02:01:c0:00
5.53882	5.55208	0.0132612	04-07-01:00:00:02:01:c0:00
5.55882	5.57208	0.0132612	04-07-01:00:00:02:01:c0:00
5.57882	5.59208	0.0132612	04-07-01:00:00:02:01:c0:00
5.59882	5.61208	0.0132612	04-07-01:00:00:02:01:c0:00
5.61882	5.63208	0.0132612	04-07-01:00:00:02:01:c0:00
5.63882	5.65208	0.0132612	04-07-01:00:00:02:01:c0:00
5.65882	5.67208	0.0132612	04-07-01:00:00:02:01:c0:00
5.67882	5.69208	0.0132612	04-07-01:00:00:02:01:c0:00
5.69882	5.71208	0.0132612	04-07-01:00:00:02:01:c0:00
5.71882	5.73208	0.0132612	04-07-01:00:00:02:01:c0:00
5.73882	5.75208	0.0132612	04-07-01:00:00:02:01:c0:00
5.75882	5.76258	0.00376118	04-07-01:00:00:02:01:c0:00
5.77882	5.78258	0.00376118	04-07-01:00:00:02:01:c0:00
5.79882	5.80258	0.00376118	04-07-01:00:00:02:01:c0:00
5.81882	5.82258	0.00376118	04-07-01:00:00:02:01:c0:00
5.83882	5.84258	0.00376118	04-07-01:00:00:02:01:c0:00
5.85882	5.86258	0.00376118	04-07-01:00:00:02:01:c0:00
5.87882	5.88258	0.00376118	04-07-01:00:00:02:01:c0:00
5.89882	5.90258	0.00376118	04-07-01:00:00:02:01:c0:00
5.91882	5.92258	0.00376118	04-07-01:00:00:02:01:c0:00
5.93882	5.94258	0.00376118	04-07-01:00:00:02:01:c0:00
5.95882	5.96258	0.00376118	04-07-01:00:00:02:01:c0:00
5.97882	5.98258	0.00376118	04-07-01:00:00:02:01:c0:00
5.99882	6.00258	0.00376118	04-07-01:00:00:02:01:c0:00
6.01882	6.02258	0.00376118	04-07-01:00:00:02:01:c0:00
6.03882	6.04258	0.00376118	04-07-01:00:00:02:01:c0:00
6.05882	6.06258	0.00376118	04-07-01:00:00:02:01:c0:00
6.07882	6.08258	0.00376118	04-07-01:00:00:02:01:c0:00
6.09882	6.10258	0.00376118	04-07-01:00:00:02:01:c0:00
6.11882	6.12258	0.00376118	04-07-01:00:00:02:01:c0:00
6.13882	6.14258	0.00376118	04-07-01:00:00:02:01:c0:00
6.15882	6.16258	0.00376118	04-07-01:00:00:02:01:c0:00
6.17882	6.18258	0.00376118	04-07-01:00:00:02:01:c0:00
6.19882	6.20258	0.00376118	04-07-01:00:00:02:01:c0:00
6.21882	6.22258	0.00376118	04-07-01:00:00:02:01:c0:00
6.23882	6.24258	0.00376118	04-07-01:00:00:02:01:c0:00
6.25882	6.26258	0.00376118	04-07-01:00:00:02:01:c0:00
6.27882	6.28258	0.00376118	04-07-01:00:00:02:01:c0:00
6.29882	6.30258	0.00376118	04-07-01:00:00:02:01:c0:00
6.31882	6.32258	0.00376118	04-07-01:00:00:02:01:c0:00
6.33882	6.34258	0.00376118	04-07-01:00:00:02:01:c0:00
6.35882	6.36258	0.00376118	04-07-01:00:00:02:01:c0:00
6.37882	6.38258	0.00376118	04-07-01:00:00:02:01:c0:00
6.39882	6.41383	0.0150112	04-07-01:00:00:02:01:c0:00
6.41882	6.43383	0.0150112	04-07-01:00:00:02:01:c0:00
6.43882	6.45383	0.0150112	04-07-01:00:00:02:01:c0:00
6.45882	6.47383	0.0150112	04-07-01:00:00:02:01:c0:00
6.47882	6.49383	0.0150112	04-07-01:00:00:02:01:c0:00
