time(s)	nodeIp	srcIp	dstIp	srcLink	dstLink
5.08013	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
5.09925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
5.11925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
5.13925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
5.15925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
5.17925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
5.19925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
5.21925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
5.23925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
5.25925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
5.27925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
5.29925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
5.31925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
5.33925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
5.35925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
5.37925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
5.39925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
5.41925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
5.43925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
5.45925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
5.47925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
5.49925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
5.51925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
5.53925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
5.55925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
5.57925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
5.59925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
5.61925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
5.63925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
5.65925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
5.67925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
5.69925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
5.71925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
5.73925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
5.75925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
5.77925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
5.79925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
5.81925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
5.83925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
5.85925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
5.87925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
5.89925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
5.91925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
5.93925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
5.95925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
5.97925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
5.99925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
6.01925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
6.03925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
6.05925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
6.07925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
6.09925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
6.11925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
6.13925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
6.15925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
6.17925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
6.19925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
6.21925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
6.23925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
6.25925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
6.27925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
6.29925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
6.31925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
6.33925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
6.35925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
6.37925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
6.39925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
6.41925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
6.43925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
6.45925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
6.47925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
6.49925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
6.51925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
6.53925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
6.55925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
6.57925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
6.59925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
6.61925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
6.63925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
6.65925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
6.67925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
6.69925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
6.71925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
6.73925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
6.75925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
6.77925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
6.79925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
6.81925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
6.83925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
6.85925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
6.87925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
6.89925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
6.91925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
6.93925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
6.95925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
6.97925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
6.99925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.01925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.03925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.05925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.07925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.09925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.11925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.13925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.15925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.17925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.19925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.21925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.23925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.25925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.27925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.29925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.31925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.33925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.35925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.37925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.39925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.41925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.43925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.45925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.47925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.49925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.51925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.53925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.55925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.57925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.59925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.61925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.63925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.65925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.67925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.69925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.71925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.73925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.75925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.77925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.79925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.81925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.83925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.85925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.87925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.89925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.91925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.93925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.95925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.97925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.99925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
8.01925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
8.03925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
8.05925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
8.07925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
8.09925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
8.11925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
8.13925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
8.15925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
8.17925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
8.19925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
8.21925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
8.23925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
8.25925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
8.27925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
8.29925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
8.31925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
8.33925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
8.35925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
8.37925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
8.39925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
8.41925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
8.43925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
8.45925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
8.47925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
8.49925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
8.51925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
8.53925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
8.55925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
8.57925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
8.59925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
8.61925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
8.63925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
8.65925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
8.67925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
8.69925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
8.71925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
8.73925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
8.75925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
8.77925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
8.79925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
8.81925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
8.83925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
8.85925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
8.87925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
8.89925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
8.91925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
8.93925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
8.95925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
8.97925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
8.99925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
9.01925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
9.03925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
9.05925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
9.07925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
9.09925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
9.11925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
9.13925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
9.15925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
9.17925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
9.19925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
9.21925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
9.23925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
9.25925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
9.27925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
9.29925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
9.31925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
9.33925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
9.35925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
9.37925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
9.39925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
9.41925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
9.43925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
9.45925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
9.47925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
9.49925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
9.51925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
9.53925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
9.55925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
9.57925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
9.59925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
9.61925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
9.63925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
9.65925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
9.67925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
9.69925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
9.71925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
9.73925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
9.75925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
9.77925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
9.79925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
9.81925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
9.83925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
9.85925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
9.87925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
9.89925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
9.91925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
9.93925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
9.95925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
9.97925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
9.99925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
10.0193	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
10.0393	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
10.0593	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
10.0793	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
10.0993	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
10.1193	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
10.1393	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
10.1593	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
10.1793	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
10.1993	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
10.2193	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
10.2393	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
10.2593	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
10.2793	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
10.2993	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
10.3193	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
10.3393	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
10.3593	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
10.3793	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
10.3993	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
10.4193	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
10.4393	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
10.4593	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
10.4793	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
10.4993	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
10.5193	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
10.5393	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
10.5593	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
10.5793	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
10.5993	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
10.6193	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
10.6393	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
10.6593	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
10.6793	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
10.6993	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
10.7193	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
10.7393	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
10.7593	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
10.7793	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
10.7993	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
10.8193	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
10.8393	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
10.8593	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
10.8793	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
10.8993	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
10.9193	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
10.9393	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
10.9593	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
10.9793	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
10.9993	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
11.0193	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
11.0393	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
11.0593	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
11.0793	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
11.0993	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
11.1193	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
11.1393	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
11.1593	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
11.1793	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
11.1993	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
11.2193	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
11.2393	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
11.2593	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
11.2793	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
11.2993	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
11.3193	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
11.3393	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
11.3593	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
11.3793	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
11.3993	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
11.4193	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
11.4393	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
11.4593	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
11.4793	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
11.4993	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
