time(s)	nodeIp	srcIp	dstIp	srcLink	dstLink
5.08013	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
5.09925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
5.09933	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
5.11925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
5.11933	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
5.13925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
5.13933	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
5.15925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
5.15933	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
5.17925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
5.17933	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
5.19925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
5.19933	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
5.21925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
5.21933	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
5.23925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
5.23933	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
5.25925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
5.25933	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
5.27925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
5.27933	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
5.29925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
5.29933	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
5.31925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
5.31933	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
5.33925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
5.33933	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
5.35925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
5.35933	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
5.37925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
5.37933	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
5.39925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
5.39933	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
5.41925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
5.41933	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
5.43925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
5.43933	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
5.45925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
5.45933	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
5.47925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
5.47933	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
5.49925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
5.49933	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
5.51925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
5.51933	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
5.53925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
5.53933	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
5.55925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
5.55933	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
5.57925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
5.57933	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
5.59925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
5.59933	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
5.61925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
5.61933	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
5.63925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
5.63933	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
5.65925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
5.65933	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
5.67925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
5.67933	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
5.69925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
5.69933	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
5.71925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
5.71933	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
5.73925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
5.73933	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
5.75925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
5.75933	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
5.77925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
5.77933	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
5.79925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
5.79933	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
5.81925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
5.81933	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
5.83925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
5.83933	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
5.85925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
5.85933	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
5.87925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
5.87933	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
5.89925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
5.89933	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
5.91925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
5.91933	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
5.93925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
5.93933	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
5.95925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
5.95933	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
5.97925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
5.97933	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
5.99925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
5.99933	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
6.01925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
6.01933	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
6.03925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
6.03933	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
6.05925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
6.05933	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
6.07925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
6.07933	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
6.09925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
6.09933	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
6.11925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
6.11933	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
6.13925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
6.13933	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
6.15925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
6.15933	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
6.17925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
6.17933	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
6.19925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
6.19933	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
6.21925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
6.21933	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
6.23925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
6.23933	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
6.25925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
6.25933	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
6.27925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
6.27933	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
6.29925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
6.29933	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
6.31925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
6.33008	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
6.33925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
6.35008	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
6.35925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
6.37008	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
6.37925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
6.39008	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
6.39925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
6.41008	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
6.41925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
6.43008	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
6.43925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
6.45008	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
6.45925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
6.47008	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
6.47925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
6.49008	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
6.49925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
6.51008	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
6.51925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
6.53008	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
6.53925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
6.55008	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
6.55925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
6.57008	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
6.57925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
6.59008	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
6.59925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
6.61008	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
6.61925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
6.63008	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
6.63925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
6.65008	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
6.65925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
6.67008	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
6.67925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
6.69008	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
6.69925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
6.71008	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
6.71925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
6.73008	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
6.73925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
6.75008	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
6.75925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
6.77008	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
6.77925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
6.79008	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
6.79925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
6.81008	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
6.81925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
6.83008	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
6.83925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
6.85008	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
6.85925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
6.87008	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
6.87925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
6.89008	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
6.89925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
6.91008	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
6.91925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
6.93008	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
6.93925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
6.95008	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
6.95925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
6.97008	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
6.97925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
6.99008	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
6.99925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.01008	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
7.01925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.03008	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
7.03925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.05008	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
7.05925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.07008	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
7.07925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.09008	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
7.09925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.11008	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
7.11925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.13008	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
7.13925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.14383	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
7.15925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.16383	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
7.17925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.18383	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
7.19925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.20383	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
7.21925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.22383	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
7.23925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.24383	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
7.25925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.26383	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
7.27925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.28383	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
7.29925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.30383	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
7.31925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.32383	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
7.33925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.34383	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
7.35925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.36383	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
7.37925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.38383	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
7.39925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.40383	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
7.41925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.42383	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
7.43925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.44383	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
7.45925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.46383	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
7.47925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.48383	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
7.49925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.50383	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
7.51925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.52383	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
7.53925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.54383	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
7.55925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.56383	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
7.57925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.58383	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
7.59925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.60383	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
7.61925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.62383	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
7.63925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.64383	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
7.65925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.66383	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
7.67925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.68383	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
7.69925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.70383	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
7.71925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.72383	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
7.73925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.74383	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
7.75925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.76383	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
7.77925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.78383	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
7.79925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.80383	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
7.81925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.82383	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
7.83925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.84383	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
7.85925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.86383	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
7.87925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.88383	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
7.89925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.90383	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
7.91925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.92383	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
7.93925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.94383	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
7.95925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.96383	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
7.97925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
7.98383	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
7.99925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
8.00383	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
8.01925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
8.02383	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
8.03925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
8.04383	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
8.05925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
8.06383	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
8.07925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
8.08383	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
8.09925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
8.10383	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
8.11925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
8.12383	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
8.13925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
8.14383	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
8.15925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
8.16383	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
8.17925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
8.18383	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
8.19925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
8.20383	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
8.21925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
8.22383	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
8.23925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
8.24383	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
8.25925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
8.26383	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
8.27925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
8.28383	7.0.0.2	7.0.0.3	1.0.0.2	SL	UL
8.29925	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
